cca,size,total_time
1,2,0.3595532280
1,3,0.4327653890
1,4,0.9205469920
1,5,1.2142155000
1,6,2.3089574120
1,7,2.9268067500
1,8,3.6379834310
1,9,2.9867576550
1,9,4.7707496320
1,9,13.4502613250
1,9,3.6785287590
1,9,4.6677455360
1,10,5.3233475420
1,10,5.3243923360
1,10,5.3648743430
1,10,17.4052434810
1,10,3.6083426390
1,10,3.5836987520
1,10,3.5835814600
1,10,3.5973698110
1,11,6.2690986760
1,11,4.2313647880
1,11,4.2253063940
1,11,4.2244346190
1,12,4.9213740160
1,12,4.9404739420
1,12,4.9293459210
1,12,4.9759862250
1,13,8.4706837780
1,13,5.7183382070
1,13,5.7052605400
1,13,5.7153038020
1,14,6.5572739930
1,14,6.5977032080
1,14,6.6020592420
1,14,6.5700210880
1,15,7.8877894220
1,15,7.8883652420
1,15,7.8887797490
1,15,7.8881725950
1,16,8.9641137300
1,16,69.5798707819
1,16,9.0545789120
1,16,9.0072790190
1,16,9.0229734640
1,16,8.9878947420
1,16,69.7979822490
1,16,9.0304735570
1,17,9.9805700510
1,17,80.5913644830
1,17,10.0867522140
1,17,9.9031041330
1,18,11.2764074030
1,18,11.1873564280
1,18,11.1792621370
1,18,96.3558161569
1,19,112.2615236511
1,19,12.3217649500
1,19,12.3369205860
1,19,112.4636870990
1,20,129.0558725750
1,20,129.0574352700
1,20,13.4522696430
1,20,13.4541293780
1,21,21.6022016140
1,21,21.6343198540
1,21,146.9810734241
1,21,21.6603326310
1,21,21.4551203030
1,21,28.8816415340
1,21,14.6395013520
1,21,21.6748335370
1,21,14.6412402770
1,21,14.5720118480
1,21,14.8462727580
1,21,14.6125098960
1,21,14.6103624930
1,21,147.2251116590
1,21,147.0213291540
1,21,14.5988993650
1,21,14.5905708870
1,21,14.7271363420
1,21,146.9727118080
1,21,14.5793856320
1,21,7.6082952660
1,21,147.9147023121
1,21,14.6594702610
1,21,14.4816279130
1,21,14.5719275770
1,21,21.6430260710
1,21,21.5650194940
1,21,146.9810079160
1,21,14.5465061830
1,21,21.5928333210
1,21,21.5746476510
1,21,21.5533482150
1,21,147.1999211080
1,21,21.6302847210
1,21,21.6461228520
1,21,21.6232922410
1,20,19.9386277469
1,20,129.3099244110
1,20,19.9093460299
1,20,19.9764855040
1,20,13.4687205240
1,20,13.6816599430
1,20,13.4415427500
1,20,129.2820446481
1,20,13.4443159450
1,20,13.4462191250
1,20,13.4469455800
1,20,13.4400078580
1,20,13.4620444160
1,20,13.5175034220
1,20,13.4947100310
1,20,13.4980667390
1,20,13.6858835140
1,20,13.5025402040
1,20,13.4934210960
1,20,13.4642341850
1,20,13.4952422130
1,20,13.5313026740
1,20,13.5263448360
1,20,19.9651534569
1,21,14.6277560080
1,21,14.5489718100
1,21,14.6020079780
1,21,14.6362009420
1,21,14.6390673370
1,21,14.6366648430
1,21,21.6251917910
1,21,14.6320307630
1,20,19.9034137910
1,20,13.6794859680
1,20,13.4640172320
1,20,13.6666981560
1,20,13.4642909490
1,20,13.6098422080
1,20,13.4102705910
1,20,13.4229413230
1,20,13.6626696160
1,20,13.4774133990
1,20,13.4681716980
1,20,13.4757048330
1,20,129.8939795609
1,20,13.5417957080
1,20,13.4854399760
1,20,13.7573283090
1,21,146.9742307940
1,21,14.7069988820
1,21,14.7527322250
1,21,14.6856663390
1,21,14.9056293790
1,21,14.5724841880
1,21,147.0406677780
1,21,14.5538346330
1,21,146.9789035990
1,21,14.8892223970
1,21,14.6417231000
1,21,147.3939009341
1,21,14.7212471600
1,21,14.8505340180
1,21,14.6242577730
1,21,14.6320538450
1,21,14.6444009470
1,21,14.5761382880
1,21,14.7372859660
1,21,14.6694461500
1,21,14.6917654200
1,21,14.6677877720
1,21,147.2025074111
1,21,146.9786034230
1,21,146.9610929880
1,21,14.6353992790
1,21,14.6637615570
1,21,14.6319913210
1,21,14.6276143350
