cca,size,density,total_time
3,10,10,4.7147242530
3,10,10,4.5353408530
3,10,10,4.5349865940
3,10,10,4.5481014290
3,10,10,1.3820793130
3,10,10,0.9402952560
3,10,10,0.9397952840
3,10,10,0.9399357280
3,10,10,0.9393203960
3,10,10,0.9396352850
3,10,20,0.9398795090
3,10,20,0.9396274370
3,10,20,0.9393878440
3,10,20,0.9390535880
3,10,20,0.9403970780
3,10,20,0.9395176620
3,10,20,0.9402858570
3,10,20,0.9389717570
3,10,20,0.9398561070
3,10,20,0.9394106270
3,11,10,5.9420523080
3,11,10,5.9898922830
3,11,10,5.9340621820
3,11,10,1.6469794840
3,11,10,1.1091824400
3,11,10,1.1078403980
3,11,10,1.1085170120
3,11,10,1.1096380130
3,11,10,1.1088023520
3,11,10,1.1101017530
3,11,20,1.1084475340
3,11,20,1.1078330750
3,11,20,1.1080043720
3,11,20,1.1084945110
3,11,20,1.1083661720
3,11,20,1.1081562670
3,11,20,1.1083965270
3,11,20,1.1084376600
3,11,20,1.1081608680
3,11,20,1.1080842640
3,12,10,1.2809392130
3,12,10,1.8972098950
3,12,10,1.2811338770
3,12,10,1.2810471800
3,12,10,1.2808905030
3,12,10,1.2810971310
3,12,10,1.2809486610
3,12,10,1.2810207230
3,12,10,1.2807381810
3,12,10,1.2812131070
3,12,20,1.2806981880
3,12,20,1.2808177730
3,12,20,1.2804833090
3,12,20,1.2814318850
3,12,20,1.2808468890
3,12,20,1.2812249330
3,12,20,1.2816191190
3,12,20,1.2811815010
3,12,20,1.2812642280
3,12,20,1.2814487780
3,13,10,1.4734118440
3,13,10,1.4725531640
3,13,10,1.4727400400
3,13,10,1.4728925400
3,13,10,1.4729521000
3,13,10,1.4715024900
3,13,10,1.4737407310
3,13,10,1.4726285670
3,13,10,1.4723956530
3,13,10,1.4725115000
3,13,20,1.4723138980
3,13,20,1.4728923100
3,13,20,1.4725239670
3,13,20,1.4725979680
3,13,20,1.4729332050
3,13,20,1.4734216300
3,13,20,1.4724433630
3,13,20,1.4729153590
3,13,20,1.4730856670
3,13,20,1.4730163760
3,14,10,11.6546733120
3,14,10,11.6386730000
3,14,10,11.6377693790
3,14,10,2.5150623470
3,14,10,1.6816097650
3,14,10,1.8890516870
3,14,10,1.6827053480
3,14,10,1.6831105490
3,14,10,1.6827219610
3,14,10,1.7017298230
3,14,20,1.6830044030
3,14,20,1.6827854300
3,14,20,1.6834684450
3,14,20,1.6824630600
3,14,20,1.6833940560
3,14,20,1.6831803030
3,14,20,1.6839088350
3,14,20,1.6832580600
3,14,20,1.6826233800
3,14,20,1.6829172130
3,15,10,14.1800894380
3,15,10,14.1809007800
3,15,10,2.8461646810
3,15,10,2.8458105280
3,15,10,1.9095987120
3,15,10,1.9080138370
3,15,10,1.9082567520
3,15,10,1.9081468390
3,15,10,1.9089947850
3,15,10,1.9082232230
3,15,20,1.9077729210
3,15,20,1.9083026910
3,15,20,1.9078211640
3,15,20,1.9083730270
3,15,20,1.9085935000
3,15,20,1.9094927560
3,15,20,1.9095915060
3,15,20,1.9227776540
3,15,20,1.9145310760
3,15,20,1.9087973160
3,16,10,17.0418215090
3,16,10,17.0428901810
3,16,10,2.1479346300
3,16,10,2.1480257660
3,16,10,2.1489618170
3,16,10,2.1485077670
3,16,10,2.1481846250
3,16,10,2.1494404760
3,16,10,2.1483571680
3,16,10,2.1493929890
3,16,20,2.1488193810
3,16,20,2.1482458540
3,16,20,2.1563696120
3,16,20,2.1490921730
3,16,20,2.1481607650
3,16,20,2.1484821100
3,16,20,2.1483302260
3,16,20,2.1486115990
3,16,20,2.1484248280
3,16,20,2.1490942690
3,17,10,2.3948930290
3,17,10,3.5843336000
3,17,10,2.3948405620
3,17,10,2.3950151270
3,17,10,2.3951906690
3,17,10,2.3959065720
3,17,10,2.3949932740
3,17,10,2.3949246970
3,17,10,2.3948916580
3,17,10,2.3955640530
3,17,20,2.3953085490
3,17,20,2.3946016220
3,17,20,2.3954656240
3,17,20,2.3944241810
3,17,20,2.3966738770
3,17,20,2.3950390940
3,17,20,2.3993103830
3,17,20,2.4069992360
3,17,20,2.3946196180
3,17,20,2.3959106840
3,18,10,2.6707737410
3,18,10,2.6705573910
3,18,10,2.6721255550
3,18,10,2.6709678110
3,18,10,2.6696689260
3,18,10,2.6696472710
3,18,10,2.6705535110
3,18,10,2.6709087390
3,18,10,2.6698308770
3,18,10,2.6705089290
3,18,20,2.6710740090
3,18,20,2.6701821700
3,18,20,2.6711374390
3,18,20,2.6707022140
3,18,20,2.6702256310
3,18,20,2.6705989980
3,18,20,2.6754008350
3,18,20,2.6717711070
3,18,20,2.6704028440
3,18,20,2.6701170220
3,19,10,3.1160801110
3,19,10,4.7354760590
3,19,10,3.1752106160
3,19,10,3.1502077820
3,19,10,3.1465289080
3,19,10,3.1745664520
3,19,10,3.1759568170
3,19,10,3.1755746580
3,19,10,3.1021029190
3,19,10,3.1029925720
3,19,20,3.0505399820
3,19,20,3.0977496070
3,19,20,3.0669719810
3,19,20,3.1276727590
3,19,20,3.1740101780
3,19,20,3.1726697910
3,19,20,3.1721608960
3,19,20,3.1742225810
3,19,20,3.1807129550
3,19,20,3.1557214480
3,20,10,3.4547092280
3,20,10,3.4930010170
3,20,10,3.4722638680
3,20,10,3.4985562000
3,20,10,3.4967647620
3,20,10,3.4732268450
3,20,10,3.4715521260
3,20,10,3.4098410540
3,20,10,3.4944382930
3,20,10,3.5094447570
3,20,20,3.4639096420
3,20,20,3.4932308050
3,20,20,3.4935931880
3,20,20,3.4932766040
3,20,20,3.4855320420
3,20,20,3.4781002450
3,20,20,3.4548430400
3,20,20,3.4680099850
3,20,20,3.4362603050
3,20,20,3.4513479450
3,21,10,3.5579766430
3,21,10,3.5570318200
3,21,10,3.5573072550
3,21,10,3.5570179990
3,21,10,3.5578217200
3,21,10,3.5569445500
3,21,10,3.5619311530
3,21,10,3.5575111990
3,21,10,3.5580524480
3,21,10,3.5577736420
3,21,20,3.5584603040
3,21,20,3.5572170520
3,21,20,3.5726872050
3,21,20,3.5577751860
3,21,20,3.5573687340
3,21,20,3.5572871180
3,21,20,3.5571456220
3,21,20,3.5583783270
3,21,20,3.5568414940
3,21,20,3.5572020290
3,22,10,3.8928279420
3,22,10,3.8886204710
3,22,10,3.8896134070
3,22,10,3.8891216300
3,22,10,3.8890852550
3,22,10,3.8878169450
3,22,10,3.8886025390
3,22,10,3.8886712870
3,22,10,3.8897250250
3,22,10,3.8880544630
3,22,20,3.8889565020
3,22,20,3.8878381070
3,22,20,3.8900410920
3,22,20,3.8880093000
3,22,20,3.8885631610
3,22,20,3.8881151940
3,22,20,3.8906976250
3,22,20,3.8876150100
3,22,20,3.8880534180
3,22,20,3.8880211780
3,23,10,4.2276134140
3,23,10,6.3288427460
3,23,10,4.2401406190
3,23,10,6.3302809810
3,23,10,4.2272267860
3,23,10,4.2265524780
3,23,10,4.2261986660
3,23,10,4.2255987190
3,23,10,4.2256805820
3,23,10,4.2263011820
3,23,20,4.2271941820
3,23,20,4.2264916510
3,23,20,4.2262829740
3,23,20,4.2267881680
3,23,20,4.2330050850
3,23,20,4.2262719130
3,23,20,4.2258854240
3,23,20,4.2275777600
3,23,20,4.2275243330
3,23,20,4.2383481840
3,24,10,4.5875247670
3,24,10,4.5865855170
3,24,10,4.5871025320
3,24,10,4.5866432380
3,24,10,4.5855968390
3,24,10,4.5871377080
3,24,10,4.5865629300
3,24,10,4.5919946160
3,24,10,4.5869795830
3,24,10,4.6074011900
3,24,20,4.5870989070
3,24,20,4.5889450540
3,24,20,4.5878912080
3,24,20,4.5876312160
3,24,20,4.5863214830
3,24,20,4.5863656410
3,24,20,4.5863228460
3,24,20,4.5867726810
3,24,20,4.5867729500
3,24,20,4.5876400670
3,25,10,4.9658025510
3,25,10,4.9649256540
3,25,10,4.9697339050
3,25,10,4.9648394520
3,25,10,4.9637196650
3,25,10,4.9646389380
3,25,10,4.9626850880
3,25,10,4.9642201850
3,25,10,4.9632024700
3,25,10,4.9633738450
