cca,size,density,total_time
6,10,10,0.0072929460
6,10,10,0.0069309470
6,10,10,0.0066459890
6,10,10,0.0063339110
6,10,10,0.0059441450
6,10,20,0.0057194880
6,10,20,0.0055929890
6,10,20,0.0052906050
6,10,20,0.0051559250
6,10,20,0.0050075710
6,11,10,0.0100888920
6,11,10,0.0095991590
6,11,10,0.0091307160
6,11,10,0.0087538570
6,11,10,0.0084087860
6,11,20,0.0083429460
6,11,20,0.0083426740
6,11,20,0.0083534730
6,11,20,0.0083539140
6,11,20,0.0083362080
6,12,10,0.0161879090
6,12,10,0.0161861950
6,12,10,0.0161918220
6,12,10,0.0161703550
6,12,10,0.0161916360
6,12,20,0.0161713900
6,12,20,0.0161555150
6,12,20,0.0161651960
6,12,20,0.0161185760
6,12,20,0.0163578620
6,13,10,0.0253739130
6,13,10,0.0253597200
6,13,10,0.0254006700
6,13,10,0.0253737700
6,13,10,0.0253631220
6,13,20,0.0254148400
6,13,20,0.0253855600
6,13,20,0.0253813880
6,13,20,0.0254081000
6,13,20,0.0253470180
6,14,10,0.0367516300
6,14,10,0.0367695880
6,14,10,0.0367947460
6,14,10,0.0369555150
6,14,10,0.0367939660
6,14,20,0.0284833170
6,14,20,0.0278398880
6,14,20,0.0290125680
6,14,20,0.0278570210
6,14,20,0.0277819840
6,15,10,0.0371611600
6,15,10,0.0371386500
6,15,10,0.0370718870
6,15,10,0.0371020600
6,15,10,0.0370588290
6,15,20,0.0373812330
6,15,20,0.0378465400
6,15,20,0.0056013390
6,15,20,0.0376522090
6,15,20,0.0055606950
6,16,10,0.0070862880
6,16,10,0.0074200940
6,16,10,0.0070816150
6,16,10,0.0071310180
6,16,10,0.0073342090
6,16,20,0.0072408350
6,16,20,0.0071401780
6,16,20,0.0071544470
6,16,20,0.0071378290
6,16,20,0.0071767680
6,17,10,0.0082892190
6,17,10,0.0082963830
6,17,10,0.0082803660
6,17,10,0.0082501290
6,17,10,0.0082799950
6,17,20,0.0082643630
6,17,20,0.0081682560
6,17,20,0.0081678620
6,17,20,0.0082152280
6,17,20,0.0082575490
6,18,10,0.0852402500
6,18,10,0.0099895140
6,18,10,0.0100647060
6,18,10,0.0100743910
6,18,10,0.0100772800
6,18,20,0.0100946060
6,18,20,0.0100314160
6,18,20,0.0100781890
6,18,20,0.0103744070
6,18,20,0.0100680100
6,19,10,0.1033962640
6,19,10,0.1035500680
6,19,10,0.1035214770
6,19,10,0.1035415520
6,19,10,0.0223437650
6,19,20,0.0169470300
6,19,20,0.0170323190
6,19,20,0.0116122620
6,19,20,0.0170922390
6,19,20,0.0115724100
6,20,10,0.0134715170
6,20,10,0.0140596110
6,20,10,0.0135989070
6,20,10,0.0133575120
6,20,10,0.0134830590
6,20,20,0.0134134610
6,20,20,0.0134389670
6,20,20,0.0134835600
6,20,20,0.0139487570
6,20,20,0.0135567690
6,21,10,0.0151166490
6,21,10,0.0150361630
6,21,10,0.0151390440
6,21,10,0.0155862580
6,21,10,0.0150443700
6,21,20,0.0150351330
6,21,20,0.0151055280
6,21,20,0.0152346080
6,21,20,0.0150398550
6,21,20,0.0151607270
6,22,10,0.0172143860
6,22,10,0.0172198450
6,22,10,0.0171989180
6,22,10,0.0172318380
6,22,10,0.0172269630
6,22,20,0.0171676090
6,22,20,0.0172118380
6,22,20,0.0171486200
6,22,20,0.0171432900
6,22,20,0.0171410360
6,23,10,0.2125246510
6,23,10,0.2120164530
6,23,10,0.0188252140
6,23,10,0.0280767850
6,23,10,0.0188458370
6,23,20,0.0188190270
6,23,20,0.0188209470
6,23,20,0.0189077390
6,23,20,0.0188570620
6,23,20,0.0188266190
6,24,10,0.0220719340
6,24,10,0.0213229250
6,24,10,0.0212926270
6,24,10,0.0212957740
6,24,10,0.0212914120
6,24,20,0.0213137550
6,24,20,0.0215516070
6,24,20,0.0215409260
6,24,20,0.0214342540
6,24,20,0.0216925460
6,25,10,0.0236440670
6,25,10,0.0234869830
6,25,10,0.0235391930
6,25,10,0.0235182360
6,25,10,0.0235988700
6,25,20,0.0235038070
6,25,20,0.0234963410
6,25,20,0.0235271220
6,25,20,0.0236024770
6,25,20,0.0235857920
6,26,10,0.0261941550
6,26,10,0.0262074430
6,26,10,0.0263045970
6,26,10,0.0263407590
6,26,10,0.0262811280
6,26,20,0.0262076540
6,26,20,0.0261033980
6,26,20,0.0264125810
6,26,20,0.0260855330
6,26,20,0.0261057350
6,27,10,0.3765154110
6,27,10,0.3764425960
6,27,10,0.0285116970
6,27,10,0.0284251880
6,27,10,0.0287686830
6,27,20,0.0286361730
6,27,20,0.0286461000
6,27,20,0.0284437480
6,27,20,0.0284398290
6,27,20,0.0285136330
6,28,10,0.0313967920
6,28,10,0.0312331360
6,28,10,0.0313779080
6,28,10,0.0313946000
6,28,10,0.0312583190
6,28,20,0.0313629590
6,28,20,0.0312941530
6,28,20,0.0313338750
6,28,20,0.0315765420
6,28,20,0.0313361460
6,29,10,0.0337826330
6,29,10,0.0344310090
6,29,10,0.0338305040
6,29,10,0.0339123250
6,29,10,0.0338480470
6,29,20,0.0339926480
6,29,20,0.0338226370
6,29,20,0.0339413370
6,29,20,0.0339650400
6,29,20,0.0338030440
6,30,10,0.0369851250
6,30,10,0.0368666400
6,30,10,0.0369662900
6,30,10,0.0385245080
6,30,10,0.0370984430
6,30,20,0.0370043500
6,30,20,0.0369827370
6,30,20,0.0371161020
6,30,20,0.0369115740
6,30,20,0.0369519330
6,31,10,0.6052218580
6,31,10,0.0396522520
6,31,10,0.0398111510
6,31,10,0.0397539700
6,31,10,0.0399106000
6,31,20,0.0400539430
6,31,20,0.0396865400
6,31,20,0.0397657780
6,31,20,0.0397899850
6,31,20,0.0396686190
