cca,size,density,mxv_time
5,10,10,0.0009091921
5,10,10,0.0008802940
5,10,10,0.0008454171
5,10,10,0.0008224249
5,10,10,0.0011850095
5,10,10,0.0015820360
5,10,10,0.0015633940
5,10,10,0.0015047830
5,10,10,0.0014889960
5,10,10,0.0014753060
5,10,20,0.0014890350
5,10,20,0.0014902020
5,10,20,0.0014000070
5,10,20,0.0014031640
5,10,20,0.0013948320
5,10,20,0.0014076340
5,10,20,0.0006997510
5,10,20,0.0014050730
5,10,20,0.0013231530
5,10,20,0.0013201350
5,11,10,0.0007611555
5,11,10,0.0007263757
5,11,10,0.0006943011
5,11,10,0.0013428670
5,11,10,0.0013235900
5,11,10,0.0013235140
5,11,10,0.0013357090
5,11,10,0.0013286320
5,11,10,0.0013319650
5,11,10,0.0012697610
5,11,20,0.0012764910
5,11,20,0.0012625260
5,11,20,0.0012659290
5,11,20,0.0012633530
5,11,20,0.0012703680
5,11,20,0.0012110450
5,11,20,0.0006078820
5,11,20,0.0012239450
5,11,20,0.0012142330
5,11,20,0.0012110760
5,12,10,0.0014250800
5,12,10,0.0014163010
5,12,10,0.0013672010
5,12,10,0.0013688940
5,12,10,0.0013610860
5,12,10,0.0013820770
5,12,10,0.0013669840
5,12,10,0.0013683900
5,12,10,0.0013678460
5,12,10,0.0013705040
5,12,20,0.0013732490
5,12,20,0.0013695060
5,12,20,0.0013671690
5,12,20,0.0013732230
5,12,20,0.0013654710
5,12,20,0.0013704880
5,12,20,0.0006825190
5,12,20,0.0013603480
5,12,20,0.0013649950
5,12,20,0.0013729430
5,13,10,0.0015615410
5,13,10,0.0015658790
5,13,10,0.0015599500
5,13,10,0.0015666580
5,13,10,0.0015633040
5,13,10,0.0015623380
5,13,10,0.0015575720
5,13,10,0.0015674900
5,13,10,0.0015661960
5,13,10,0.0015653500
5,13,20,0.0015686250
5,13,20,0.0015658190
5,13,20,0.0015651760
5,13,20,0.0015732360
5,13,20,0.0015594160
5,13,20,0.0015625450
5,13,20,0.0007822790
5,13,20,0.0015685380
5,13,20,0.0015669770
5,13,20,0.0015657260
5,14,10,0.0008979045
5,14,10,0.0008997254
5,14,10,0.0008972039
5,14,10,0.0017982570
5,14,10,0.0018093880
5,14,10,0.0017978050
5,14,10,0.0017912930
5,14,10,0.0017828230
5,14,10,0.0018085330
5,14,10,0.0017942240
5,14,20,0.0017877770
5,14,20,0.0018018690
5,14,20,0.0017978030
5,14,20,0.0017906730
5,14,20,0.0017928280
5,14,20,0.0018078740
5,14,20,0.0008933850
5,14,20,0.0017972430
5,14,20,0.0017936050
5,14,20,0.0018096820
5,15,10,0.0010171600
5,15,10,0.0010246271
5,15,10,0.0020527960
5,15,10,0.0020536700
5,15,10,0.0020534340
5,15,10,0.0020536230
5,15,10,0.0020546140
5,15,10,0.0020488820
5,15,10,0.0020503790
5,15,10,0.0020495570
5,15,20,0.0021446060
5,15,20,0.0020539520
5,15,20,0.0020545120
5,15,20,0.0020487150
5,15,20,0.0020462630
5,15,20,0.0020495940
5,15,20,0.0010235300
5,15,20,0.0020485800
5,15,20,0.0020477620
5,15,20,0.0020505590
5,16,10,0.0011575344
5,16,10,0.0011579439
5,16,10,0.0023177700
5,16,10,0.0023135400
5,16,10,0.0023167490
5,16,10,0.0023088160
5,16,10,0.0023126690
5,16,10,0.0023152020
5,16,10,0.0023091790
5,16,10,0.0023111070
5,16,20,0.0023189540
5,16,20,0.0023110630
5,16,20,0.0023182130
5,16,20,0.0023139800
5,16,20,0.0023148940
5,16,20,0.0023115420
5,16,20,0.0011561320
5,16,20,0.0023086690
5,16,20,0.0023147980
5,16,20,0.0023089170
5,17,10,0.0026013910
5,17,10,0.0026088480
5,17,10,0.0026184350
5,17,10,0.0026036790
5,17,10,0.0026038970
5,17,10,0.0026116770
5,17,10,0.0026070010
5,17,10,0.0026118810
5,17,10,0.0026080120
5,17,10,0.0026017630
5,17,20,0.0026066180
5,17,20,0.0025959030
5,17,20,0.0026110640
5,17,20,0.0026070240
5,17,20,0.0026082510
5,17,20,0.0026043500
5,17,20,0.0012993560
5,17,20,0.0025963080
5,17,20,0.0026015810
5,17,20,0.0026007870
5,18,10,0.0029008780
5,18,10,0.0014571770
5,18,10,0.0029058890
5,18,10,0.0029082580
5,18,10,0.0029115670
5,18,10,0.0029079570
5,18,10,0.0029021220
5,18,10,0.0029097180
5,18,10,0.0029090550
5,18,10,0.0029136370
5,18,20,0.0029146090
5,18,20,0.0029089520
5,18,20,0.0029091940
5,18,20,0.0029085210
5,18,20,0.0029032890
5,18,20,0.0029085800
5,18,20,0.0014552220
5,18,20,0.0029106970
5,18,20,0.0029137400
5,18,20,0.0029106600
5,19,10,0.0031946660
5,19,10,0.0024613870
5,19,10,0.0035489820
5,19,10,0.0035553020
5,19,10,0.0035425080
5,19,10,0.0034324050
5,19,10,0.0035168960
5,19,10,0.0034014920
5,19,10,0.0034448640
5,19,10,0.0031990080
5,19,20,0.0032203940
5,19,20,0.0032033790
5,19,20,0.0031996700
5,19,20,0.0033331830
5,19,20,0.0032497610
5,19,20,0.0032086450
5,19,20,0.0016773240
5,19,20,0.0035351140
5,19,20,0.0035424770
5,19,20,0.0035465070
5,20,10,0.0035649850
5,20,10,0.0018311620
5,20,10,0.0037410290
5,20,10,0.0036872750
5,20,10,0.0036659820
5,20,10,0.0035827630
5,20,10,0.0036358440
5,20,10,0.0038733370
5,20,10,0.0038727590
5,20,10,0.0038756660
5,20,20,0.0038758880
5,20,20,0.0038749580
5,20,20,0.0038697830
5,20,20,0.0038669160
5,20,20,0.0038705570
5,20,20,0.0038725930
5,20,20,0.0019363670
5,20,20,0.0038727090
5,20,20,0.0038726880
5,20,20,0.0038765420
5,21,10,0.0039069800
5,21,10,0.0038998080
5,21,10,0.0039040390
5,21,10,0.0039126520
5,21,10,0.0039079630
5,21,10,0.0039027380
5,21,10,0.0039093850
5,21,10,0.0039065120
5,21,10,0.0039183750
5,21,10,0.0039075520
5,21,20,0.0039084390
5,21,20,0.0039039850
5,21,20,0.0039133760
5,21,20,0.0039064180
5,21,20,0.0038970530
5,21,20,0.0039156880
5,21,20,0.0019548640
5,21,20,0.0039204410
5,21,20,0.0039002010
5,21,20,0.0039043310
5,22,10,0.0042694600
5,22,10,0.0021226280
5,22,10,0.0042342770
5,22,10,0.0042619940
5,22,10,0.0042701090
5,22,10,0.0042747430
5,22,10,0.0042670150
5,22,10,0.0042616040
5,22,10,0.0031933740
5,22,10,0.0032049720
5,22,20,0.0032147980
5,22,20,0.0032018470
5,22,20,0.0032013210
5,22,20,0.0032192200
5,22,20,0.0032034250
5,22,20,0.0032054820
5,22,20,0.0015879310
5,22,20,0.0031749720
5,22,20,0.0031888720
5,22,20,0.0032177070
5,23,10,0.0017318890
5,23,10,0.0026058520
5,23,10,0.0034787450
5,23,10,0.0034875090
5,23,10,0.0034737720
5,23,10,0.0034922250
5,23,10,0.0034635200
5,23,10,0.0035067450
5,23,10,0.0034846130
5,23,10,0.0034834580
5,23,20,0.0034945060
5,23,20,0.0034880980
5,23,20,0.0034885510
5,23,20,0.0034779160
5,23,20,0.0034866360
5,23,20,0.0034878610
5,23,20,0.0017300010
5,23,20,0.0034812580
5,23,20,0.0034790990
5,23,20,0.0034860770
5,24,10,0.0037722270
5,24,10,0.0018937360
5,24,10,0.0037793850
5,24,10,0.0037772260
5,24,10,0.0037795640
5,24,10,0.0037728000
5,24,10,0.0037717860
5,24,10,0.0037738700
5,24,10,0.0037785790
5,24,10,0.0037761360
