cca,size,density,total_time
4,10,10,0.0718510560
4,10,10,0.0532119340
4,10,10,0.0508328380
4,10,10,0.0507118020
4,10,10,0.0255754750
4,10,20,0.0156556530
4,10,20,0.0156776500
4,10,20,0.0156550780
4,10,20,0.0156669000
4,10,20,0.0107120630
4,11,10,0.0664302990
4,11,10,0.0664287210
4,11,10,0.0664393910
4,11,10,0.0664442660
4,11,10,0.0244286690
4,11,20,0.0124945890
4,11,20,0.0125397730
4,11,20,0.0125448770
4,11,20,0.0125370940
4,11,20,0.0124976550
4,12,10,0.0215122440
4,12,10,0.0123962110
4,12,10,0.0111880030
4,12,10,0.0113880080
4,12,10,0.0111870040
4,12,20,0.0112510670
4,12,20,0.0111634360
4,12,20,0.0111839000
4,12,20,0.0111867800
4,12,20,0.0114132780
4,13,10,0.0139533360
4,13,10,0.0135084400
4,13,10,0.0126867290
4,13,10,0.0126365990
4,13,10,0.0126239350
4,13,20,0.0127869740
4,13,20,0.0125565990
4,13,20,0.0125608110
4,13,20,0.0125456130
4,13,20,0.0125523630
4,14,10,0.0975968140
4,14,10,0.0142654330
4,14,10,0.0143152140
4,14,10,0.0143083890
4,14,10,0.0143292040
4,14,20,0.0142522180
4,14,20,0.0144684850
4,14,20,0.0142413260
4,14,20,0.0143275080
4,14,20,0.0143628930
4,15,10,0.1192543860
4,15,10,0.1192635710
4,15,10,0.0241888600
4,15,10,0.0241923260
4,15,10,0.0162969940
4,15,20,0.0163030390
4,15,20,0.0164574410
4,15,20,0.0162298640
4,15,20,0.0162630410
4,15,20,0.0162644950
4,16,10,0.0182468180
4,16,10,0.0183036940
4,16,10,0.0182690520
4,16,10,0.0182763440
4,16,10,0.0182989140
4,16,20,0.0182644410
4,16,20,0.0183329730
4,16,20,0.0184036970
4,16,20,0.0185754660
4,16,20,0.0182835110
4,17,10,0.0205815670
4,17,10,0.0203121430
4,17,10,0.0204870200
4,17,10,0.0203244480
4,17,10,0.0203215310
4,17,20,0.0203228460
4,17,20,0.0203332090
4,17,20,0.0205413820
4,17,20,0.0205549100
4,17,20,0.0203512780
4,18,10,0.0225983050
4,18,10,0.0226274240
4,18,10,0.0225992620
4,18,10,0.0226003030
4,18,10,0.0225984930
4,18,20,0.0226404010
4,18,20,0.0225892200
4,18,20,0.0225794920
4,18,20,0.0226209620
4,18,20,0.0226186840
4,19,10,0.2565033040
4,19,10,0.2572512380
4,19,10,0.0543264420
4,19,10,0.0410284210
4,19,10,0.0412402860
4,19,20,0.0271811380
4,19,20,0.0410639870
4,19,20,0.0274216960
4,19,20,0.0275032570
4,19,20,0.0274434970
4,20,10,0.0299871640
4,20,10,0.0298084280
4,20,10,0.0297406530
4,20,10,0.0293389280
4,20,10,0.0298882880
4,20,20,0.0302003090
4,20,20,0.0299385790
4,20,20,0.0291950380
4,20,20,0.0303367340
4,20,20,0.0295098370
4,21,10,0.0301081230
4,21,10,0.0302782560
4,21,10,0.0301756230
4,21,10,0.0301284310
4,21,10,0.0301077810
4,21,20,0.0301238320
4,21,20,0.0300600410
4,21,20,0.0302570700
4,21,20,0.0301086870
4,21,20,0.0301156930
4,22,10,0.0329051430
4,22,10,0.0329628390
4,22,10,0.0329139130
4,22,10,0.0329412740
4,22,10,0.0334101930
4,22,20,0.0333203960
4,22,20,0.0331772970
4,22,20,0.0332721650
4,22,20,0.0329348390
4,22,20,0.0329674540
4,23,10,0.4112412000
4,23,10,0.4112795060
4,23,10,0.0540565940
4,23,10,0.0540253530
4,23,10,0.0540021090
4,23,20,0.0539592790
4,23,20,0.0360293990
4,23,20,0.0361010970
4,23,20,0.0360490870
4,23,20,0.0358234770
4,24,10,0.0388442970
4,24,10,0.0388786810
4,24,10,0.0389032020
4,24,10,0.0388792220
4,24,10,0.0391361390
4,24,20,0.0388897040
4,24,20,0.0389070840
4,24,20,0.0388975690
4,24,20,0.0389724470
4,24,20,0.0388972030
4,25,10,0.0418697200
4,25,10,0.0418798820
4,25,10,0.0418726270
4,25,10,0.0418693240
4,25,10,0.0418728440
4,25,20,0.0418662080
4,25,20,0.0424407350
4,25,20,0.0422890730
4,25,20,0.0419655490
4,25,20,0.0419215390
4,26,10,0.0452908370
4,26,10,0.0453113830
4,26,10,0.0453076770
4,26,10,0.0453171620
4,26,10,0.0453050740
4,26,20,0.0453073740
4,26,20,0.0453016970
4,26,20,0.0452664900
4,26,20,0.0452645060
4,26,20,0.0452610280
4,27,10,0.1214673780
4,27,10,0.0729320720
4,27,10,0.0730034090
4,27,10,0.0486824510
4,27,10,0.0486435970
4,27,20,0.0489501150
4,27,20,0.0489467160
4,27,20,0.0489962220
4,27,20,0.0489244700
4,27,20,0.0488445550
4,28,10,0.0523649250
4,28,10,0.0521166010
4,28,10,0.0520813310
4,28,10,0.0520862870
4,28,10,0.0524811810
4,28,20,0.0521026730
4,28,20,0.0522491700
4,28,20,0.0521225850
4,28,20,0.0521383370
4,28,20,0.0521075120
4,29,10,0.0557085400
4,29,10,0.0558339600
4,29,10,0.0557846780
4,29,10,0.0557325670
4,29,10,0.0558959270
4,29,20,0.0563825200
4,29,20,0.0557358190
4,29,20,0.0557998860
4,29,20,0.0557731410
4,29,20,0.0557789530
4,30,10,0.0594178600
4,30,10,0.0593767050
4,30,10,0.0594320600
4,30,10,0.0594478580
4,30,10,0.0594179830
4,30,20,0.0593863270
4,30,20,0.0594991820
4,30,20,0.0594481780
4,30,20,0.0593868270
4,30,20,0.0594800600
4,31,10,0.0954918920
4,31,10,0.0635620060
4,31,10,0.0637819570
4,31,10,0.0638307580
4,31,10,0.0637576620
4,31,20,0.0636573680
4,31,20,0.0637357060
4,31,20,0.0637214770
4,31,20,0.0634827370
4,31,20,0.0634628300
