cca,size,density,total_time
8,10,10,0.0774100430
8,10,10,0.0615282830
8,10,10,0.1461487780
8,10,10,0.1176590050
8,10,10,0.1176164890
8,10,10,0.0909759500
8,10,10,0.0891444430
8,10,10,0.0891531100
8,10,10,0.0868801890
8,10,10,0.0672002850
8,10,20,0.0671446490
8,10,20,0.0668861300
8,10,20,0.0668258560
8,10,20,0.0668299030
8,10,20,0.0668320800
8,10,20,0.0669675100
8,10,20,0.0465381810
8,10,20,0.0668375120
8,10,20,0.0668177540
8,10,20,0.0668704450
8,11,10,0.0501758060
8,11,10,0.0993115380
8,11,10,0.1232691400
8,11,10,0.0737317790
8,11,10,0.0744920240
8,11,10,0.0744581880
8,11,10,0.0738838660
8,11,10,0.0744390100
8,11,10,0.0739329240
8,11,10,0.0745044040
8,11,20,0.1089595380
8,11,20,0.0745546080
8,11,20,0.0762788830
8,11,20,0.0914866810
8,11,20,0.0744861570
8,11,20,0.0747543380
8,11,20,0.0505069310
8,11,20,0.0746436830
8,11,20,0.0744219780
8,11,20,0.0743688700
8,12,10,0.0806096890
8,12,10,0.0816295260
8,12,10,0.0807567990
8,12,10,0.0806129160
8,12,10,0.0807267610
8,12,10,0.0808615260
8,12,10,0.0808711870
8,12,10,0.0807946070
8,12,10,0.0807651030
8,12,10,0.0807355970
8,12,20,0.0806302510
8,12,20,0.0806800760
8,12,20,0.0807476550
8,12,20,0.0808164040
8,12,20,0.0808981490
8,12,20,0.0806135430
8,12,20,0.0530179560
8,12,20,0.0805865200
8,12,20,0.0807217560
8,12,20,0.0806504010
8,13,10,0.0876498980
8,13,10,0.0876870790
8,13,10,0.0879978710
8,13,10,0.0875850940
8,13,10,0.0877311000
8,13,10,0.0876634310
8,13,10,0.0875442170
8,13,10,0.0875081470
8,13,10,0.0877114510
8,13,10,0.0876362470
8,13,20,0.0882455410
8,13,20,0.0875839110
8,13,20,0.0875220990
8,13,20,0.0876383270
8,13,20,0.0877253070
8,13,20,0.0875518360
8,13,20,0.0566730170
8,13,20,0.0875379730
8,13,20,0.0878257340
8,13,20,0.0881391180
8,14,10,0.1303471470
8,14,10,0.0599228650
8,14,10,0.1303212300
8,14,10,0.0954112880
8,14,10,0.0947533060
8,14,10,0.0947314690
8,14,10,0.0949112430
8,14,10,0.0947675220
8,14,10,0.0947249280
8,14,10,0.0947842790
8,14,20,0.0948016580
8,14,20,0.0947579070
8,14,20,0.0948396380
8,14,20,0.0949392860
8,14,20,0.0949289540
8,14,20,0.0947139670
8,14,20,0.0599769790
8,14,20,0.0948829360
8,14,20,0.0947443240
8,14,20,0.0949285910
8,15,10,0.0636864990
8,15,10,0.1410774420
8,15,10,0.1016763070
8,15,10,0.1028897680
8,15,10,0.1027625980
8,15,10,0.1013349050
8,15,10,0.1212075470
8,15,10,0.1013277620
8,15,10,0.1026420840
8,15,10,0.1017681990
8,15,20,0.1028760340
8,15,20,0.1016314310
8,15,20,0.1026815180
8,15,20,0.1014970790
8,15,20,0.1013207170
8,15,20,0.1014204210
8,15,20,0.0636841170
8,15,20,0.1022130700
8,15,20,0.1015156280
8,15,20,0.1014926680
