cca,size,density,total_time
1,10,10,0.2629571620
1,10,10,0.2347596920
1,10,10,0.2348583660
1,10,10,0.0486303870
1,10,10,0.0486076670
1,10,20,0.0486893760
1,10,20,0.0490510060
1,10,20,0.0401476900
1,10,20,0.0336976310
1,10,20,0.0534382420
1,11,10,0.3059693290
1,11,10,0.3061534820
1,11,10,0.2321240820
1,11,10,0.2293208480
1,11,10,0.0430287570
1,11,20,0.0216170970
1,11,20,0.0219991000
1,11,20,0.0218741040
1,11,20,0.0219320400
1,11,20,0.0219290870
1,12,10,0.0253306000
1,12,10,0.0415400680
1,12,10,0.0330164270
1,12,10,0.0254571900
1,12,10,0.0254655590
1,12,20,0.0259060010
1,12,20,0.0255422070
1,12,20,0.0256686060
1,12,20,0.0252999980
1,12,20,0.0250358630
1,13,10,0.0295912840
1,13,10,0.0291980300
1,13,10,0.0293582770
1,13,10,0.0294816200
1,13,10,0.0295760460
1,13,20,0.0293140490
1,13,20,0.0295235170
1,13,20,0.0296166470
1,13,20,0.0294802560
1,13,20,0.0293648370
1,14,10,0.0335081120
1,14,10,0.0335264220
1,14,10,0.0335661170
1,14,10,0.0333821760
1,14,10,0.0335756680
1,14,20,0.0335155640
1,14,20,0.0335272060
1,14,20,0.0335491850
1,14,20,0.0335310450
1,14,20,0.0337389430
1,15,10,0.5706285050
1,15,10,0.0788196430
1,15,10,0.0787490180
1,15,10,0.0395285570
1,15,10,0.0400511850
1,15,20,0.0400247660
1,15,20,0.0400585670
1,15,20,0.0400303800
1,15,20,0.0405565750
1,15,20,0.0399410730
1,16,10,0.0455282460
1,16,10,0.0457343520
1,16,10,0.0452034800
1,16,10,0.0454528160
1,16,10,0.0457940320
1,16,20,0.0456425390
1,16,20,0.0458328690
1,16,20,0.0455244700
1,16,20,0.0455846660
1,16,20,0.0452892070
1,17,10,0.0513975440
1,17,10,0.0515195440
1,17,10,0.0509598850
1,17,10,0.0506093200
1,17,10,0.0511179950
1,17,20,0.0508874240
1,17,20,0.0509025750
1,17,20,0.0504484210
1,17,20,0.0508440580
1,17,20,0.0512161910
1,18,10,0.0567105540
1,18,10,0.0569346090
1,18,10,0.0564890300
1,18,10,0.0566993910
1,18,10,0.0563798980
1,18,20,0.0568293210
1,18,20,0.0567266380
1,18,20,0.0565335020
1,18,20,0.0569411630
1,18,20,0.0574801630
1,19,10,1.1079801840
1,19,10,1.1085088010
1,19,10,0.1207444150
1,19,10,0.0625330440
1,19,10,0.0630191520
1,19,20,0.0624295630
1,19,20,0.0621122610
1,19,20,0.0623213440
1,19,20,0.0621727620
1,19,20,0.0625819310
1,20,10,0.0693003830
1,20,10,0.0700367190
1,20,10,0.0700286880
1,20,10,0.0701333290
1,20,10,0.0694908690
1,20,20,0.0694445830
1,20,20,0.0689650670
1,20,20,0.0689407460
1,20,20,0.0692031600
1,20,20,0.0684842120
1,21,10,0.0752692950
1,21,10,0.0749328980
1,21,10,0.0745905290
1,21,10,0.0748317000
1,21,10,0.0747018800
1,21,20,0.0750109890
1,21,20,0.0749989480
1,21,20,0.0744028650
1,21,20,0.0750480860
1,21,20,0.0738086320
1,22,10,0.0821260970
1,22,10,0.0813564770
1,22,10,0.0812873800
1,22,10,0.0816446390
1,22,10,0.0812957390
1,22,20,0.0815014650
1,22,20,0.0817326680
1,22,20,0.0809378410
1,22,20,0.0809035680
1,22,20,0.0816074780
1,23,10,0.1759128790
1,23,10,0.0887848610
1,23,10,0.0889316520
1,23,10,0.0893750910
1,23,10,0.0896169960
1,23,20,0.0888284570
1,23,20,0.0892018870
1,23,20,0.0888360770
1,23,20,0.0900987490
1,23,20,0.0887226180
1,24,10,0.0984437630
1,24,10,0.0992537920
1,24,10,0.0985887020
1,24,10,0.0982766060
1,24,10,0.0976100030
1,24,20,0.0972929040
1,24,20,0.0975959280
1,24,20,0.0969515600
1,24,20,0.0981165810
1,24,20,0.0976775430
1,25,10,0.1049745340
1,25,10,0.1032590040
1,25,10,0.1042206520
1,25,10,0.1029181720
1,25,10,0.1063783470
1,25,20,0.1069325490
1,25,20,0.1063445740
1,25,20,0.1066832020
1,25,20,0.1047726380
1,25,20,0.1058421440
1,26,10,0.1129115420
1,26,10,0.1139754400
1,26,10,0.1140494470
1,26,10,0.1140941430
1,26,10,0.1134917760
1,26,20,0.1133247940
1,26,20,0.1144798710
1,26,20,0.1127211090
1,26,20,0.1131310650
1,26,20,0.1146808640
1,27,10,0.2388935440
1,27,10,0.1228007960
1,27,10,0.1225224050
1,27,10,0.1239102630
1,27,10,0.1234776680
1,27,20,0.1240962650
1,27,20,0.1244076480
1,27,20,0.1236589830
1,27,20,0.1226986910
1,27,20,0.1225043630
1,28,10,0.1315291820
1,28,10,0.1327845060
1,28,10,0.1322061280
1,28,10,0.1330588190
1,28,10,0.1320858650
1,28,20,0.1303610540
1,28,20,0.1297853500
1,28,20,0.1308686910
1,28,20,0.1312688510
1,28,20,0.1308311520
1,29,10,0.1400747170
1,29,10,0.1396037320
1,29,10,0.1399117980
1,29,10,0.1394652480
1,29,10,0.1395560160
1,29,20,0.1397365510
1,29,20,0.1408663550
1,29,20,0.1408366170
1,29,20,0.1396235230
1,29,20,0.1395854750
1,30,10,0.1508411600
1,30,10,0.1521120890
1,30,10,0.1499794790
1,30,10,0.1502966300
1,30,10,0.1784452100
1,30,20,0.1504202440
1,30,20,0.1511123640
1,30,20,0.1502738100
1,30,20,0.1482220080
1,30,20,0.1501034630
1,31,10,0.1597692690
1,31,10,0.1608290460
1,31,10,0.1614933160
1,31,10,0.1599104070
1,31,10,0.1598849480
1,31,20,0.1584833190
1,31,20,0.1596142460
1,31,20,0.1590678190
1,31,20,0.1597878370
1,31,20,0.1600546530
